model,lr,seed,val_mae,test_mae,n_params
cgcnn,0.0003,0,0.740390419960022,1.5936957597732544,98049
cgcnn,0.0003,1,0.9786958694458008,1.7810930013656616,98049
cgcnn,0.0003,2,1.4029598236083984,1.5072335004806519,98049
cgcnn,0.001,0,0.7330331802368164,1.6860253810882568,98049
cgcnn,0.001,1,1.0336352586746216,1.911960482597351,98049
cgcnn,0.001,2,1.3525806665420532,1.5412851572036743,98049
cgcnn,0.003,0,0.7993453741073608,1.8632047176361084,98049
cgcnn,0.003,1,0.9330303072929382,1.8260515928268433,98049
cgcnn,0.003,2,1.488429307937622,1.5437631607055664,98049
alignn_small,0.0003,0,1.0860735177993774,1.608946442604065,140417
alignn_small,0.0003,1,1.1011277437210083,1.8970211744308472,140417
alignn_small,0.0003,2,1.4866734743118286,1.515842318534851,140417
alignn_small,0.001,0,0.9328555464744568,1.6685279607772827,140417
alignn_small,0.001,1,1.007533073425293,1.6923553943634033,140417
alignn_small,0.001,2,1.3378041982650757,1.3300334215164185,140417
alignn_small,0.003,0,0.9631383419036865,1.5790187120437622,140417
alignn_small,0.003,1,1.1714282035827637,1.560704231262207,140417
alignn_small,0.003,2,1.3411403894424438,1.3033061027526855,140417
