n,seed,model,arm,test_mae,n_params,secs
25,0,mean_baseline,composition,2.1122810808945642,,0.00021696090698242188
25,0,random_forest,composition,1.9930570516031014,,0.33567285537719727
25,0,xgboost,composition,1.8317551880666239,,0.20327091217041016
25,0,cgcnn,structure,2.037144899368286,98049.0,5.313010215759277
25,0,alignn_small,structure,2.118104934692383,140417.0,13.5745530128479
25,1,mean_baseline,composition,2.101425802671684,,0.00021409988403320312
25,1,random_forest,composition,1.7234768463998005,,0.3024420738220215
25,1,xgboost,composition,1.5168209654983,,0.19724178314208984
25,1,cgcnn,structure,1.9253908395767212,98049.0,3.917067050933838
25,1,alignn_small,structure,1.892307162284851,140417.0,32.162500858306885
25,2,mean_baseline,composition,2.1225251873004387,,0.00019598007202148438
25,2,random_forest,composition,1.7738427700694774,,0.2896609306335449
25,2,xgboost,composition,1.722314566088977,,0.1878070831298828
25,2,cgcnn,structure,2.157186269760132,98049.0,2.528080940246582
25,2,alignn_small,structure,2.104233980178833,140417.0,10.938332796096802
25,3,mean_baseline,composition,2.1096466034900305,,0.00019478797912597656
25,3,random_forest,composition,1.803997770687857,,0.2890009880065918
25,3,xgboost,composition,1.8513306312301012,,0.2076570987701416
25,3,cgcnn,structure,2.3008930683135986,98049.0,6.161537170410156
25,3,alignn_small,structure,2.0220248699188232,140417.0,50.33256387710571
25,4,mean_baseline,composition,2.1015047542466596,,0.00022292137145996094
25,4,random_forest,composition,1.7475538611688723,,0.2971012592315674
25,4,xgboost,composition,1.709723017665316,,0.20540904998779297
25,4,cgcnn,structure,2.6127126216888428,98049.0,1.8419957160949707
25,4,alignn_small,structure,2.05652117729187,140417.0,28.461554050445557
50,0,mean_baseline,composition,2.09655466336817,,0.0002002716064453125
50,0,random_forest,composition,1.734943523690323,,0.2966902256011963
50,0,xgboost,composition,1.582069101093147,,0.22811603546142578
50,0,cgcnn,structure,2.1584091186523438,98049.0,11.737061262130737
50,0,alignn_small,structure,1.9633508920669556,140417.0,106.56318807601929
50,1,mean_baseline,composition,2.1632708639957023,,0.0008168220520019531
50,1,random_forest,composition,1.557178664455553,,0.3021392822265625
50,1,xgboost,composition,1.662242190785774,,0.23795104026794434
